source,target,weight
1072210115326066688,247179686,4
1072210115326066688,291185646,3
1072210115326066688,739547151617904640,1
1073419548,247179686,1
1075562811894497280,278549435,1
1076583331872079872,1546656000,1
1077536546788651008,947406349830324224,1
1077696941356650496,1098656728688803841,1
1078964321315667969,235205460,1
1078964321315667969,247179686,27
1078964321315667969,276021978,1
1078964321315667969,291185646,4
1078964321315667969,72063177,2
1080103453983207426,247179686,1
1081030181320642560,2755647857,1
1081241063677935616,1241433581307613185,1
1081241063677935616,14132591,2
1081241063677935616,235205460,1
1081241063677935616,269881336,1
1081241063677935616,278549435,2
1081241063677935616,282168818,2
1081241063677935616,2957406928,1
1081241063677935616,350280356,1
1081241063677935616,354188080,1
1081241063677935616,963754316,1
108352544,247179686,1
1083576115740987392,1159281082916900864,1
1083576115740987392,1197423263716167681,1
1083576115740987392,1259102477863063557,1
1083576115740987392,197137812,1
1083576115740987392,20749615,1
1083576115740987392,21200697,1
1083576115740987392,2269891668,1
1083576115740987392,278549435,2
1083576115740987392,29547609,1
1083576115740987392,351911858,1
1083576115740987392,3818261897,1
1083576115740987392,42507219,1
1083576115740987392,744551780420296704,1
1083576115740987392,766487227,1
1083576115740987392,798972081669111808,1
1083576115740987392,970459916027813888,1
1084065641202675716,1013777146102337536,1
1086810983316799490,1107793013626101760,4
1086810983316799490,1182406463991549952,1
1086810983316799490,278549435,3
1086810983316799490,571527485,2
1086810983316799490,819265630348132353,1
1087007098712543232,278549435,1
1087428379,247179686,1
1092630240168423424,4847901676,1
10950002,247179686,2
10950002,404609293,2
1095843643980685312,1334512525,3
1095843643980685312,247179686,33
1095843643980685312,278549435,8
1095843643980685312,282168818,1
1095843643980685312,291185646,9
1095843643980685312,366177469,1
1095843643980685312,571527485,1
1095843643980685312,960669849415487489,1
1096530671911096320,237670274,2
1096773757757202433,1086810983316799490,1
1096773757757202433,1891576674,1
1096773757757202433,247179686,15
1096773757757202433,278549435,5
1096773757757202433,282168818,1
1096773757757202433,571527485,1
1097920470236577792,247179686,1
1097920470236577792,278549435,1
1097920470236577792,291185646,1
1098656728688803841,547855479,2
1101151954129031176,1150298329,1
1101357916781723648,282168818,1
1101620782675968005,1026161281127116800,2
1101620782675968005,1086810983316799490,1
1101620782675968005,1095258614,1
1101620782675968005,1114535751277076480,1
1101620782675968005,247179686,20
1101620782675968005,278549435,1
1101620782675968005,282168818,1
1101620782675968005,291185646,1
1101620782675968005,366177469,1
1101620782675968005,571527485,1
1101620782675968005,960669849415487489,3
1101620782675968005,963754316,1
1101893513032142850,282168818,1
1103348559582318592,278549435,1
1104378825318772736,282168818,3
1105241178126118912,571527485,1
1105878865,247179686,1
1105878865,278549435,1
1106653179360374784,14515799,1
1106653179360374784,25073877,1
1107050688,247179686,1
1107793013626101760,1026161281127116800,11
1107793013626101760,1064251096435167232,1
1107793013626101760,1086810983316799490,21
1107793013626101760,1138129487323906049,1
1107793013626101760,1182406463991549952,5
1107793013626101760,14132591,1
1107793013626101760,247179686,3
1107793013626101760,278549435,3
1107793013626101760,291185646,1
1107793013626101760,3131146787,5
1107793013626101760,3310156796,1
1107793013626101760,350280356,1
1107793013626101760,3947782642,1
1107793013626101760,452344175,1
1107793013626101760,571527485,4
1107793013626101760,725757744255516672,1
1107793013626101760,794284128686534656,1
1107793013626101760,848268580852563968,4
1107793013626101760,918043589371973632,1
1107793013626101760,949831527667400704,11
1107986251557167104,2386723279,1
1107986251557167104,247179686,2
1107986251557167104,291185646,1
1107986251557167104,571527485,1
1107986251557167104,870235988756443137,1
1108919100431052800,350280356,2
1108919100431052800,807000283041644545,1
1108919100431052800,820333938434523136,1
1109086786440040448,291185646,1
1110602063321460736,52422673,1
1111041100981170176,247179686,1
1111041100981170176,278549435,1
1111367626247294976,1095258614,1
1111367626247294976,247179686,1
1111367626247294976,278549435,2
1113855736281481217,282168818,3
1114535751277076480,247179686,1
1114898847065608193,1131234343941132288,1
1114898847065608193,833434653973438465,1
1116083648699273217,247179686,12
1116083648699273217,278549435,2
1116083648699273217,291185646,2
1116793431144181761,1229696791,1
1116793431144181761,1241307294148825093,1
1116793431144181761,19344678,1
1116793431144181761,247179686,3
1116793431144181761,26003792,1
1116793431144181761,278549435,1
1116793431144181761,291185646,2
1116793431144181761,3350715784,1
1116793431144181761,351623790,1
1116793431144181761,3689114435,1
1117126151300952064,14132591,2
1117126151300952064,237670274,1
1117126151300952064,278549435,1
1117126151300952064,822180013340553216,1
1119835878,282168818,1
1120065485603770369,282168818,1
1124033090773504001,4847901676,1
1125792704745623552,247179686,1
112814777,963754316,1
1129356510834958336,237670274,1
1129356510834958336,247179686,20
1129356510834958336,278549435,8
1129356510834958336,291185646,2
1129356510834958336,848268580852563968,1
1130127366695600128,237670274,3
1130630501197332480,247179686,7
1131180187754913793,282168818,4
1131180187754913793,410160829,1
1131180187754913793,751558468205735936,1
1131234343941132288,278549435,1
1132328235675602944,282168818,1
1132712040072663048,1043440561871577089,1
1132712040072663048,278549435,1
1132712040072663048,282168818,1
1132712040072663048,291185646,2
1132712040072663048,725052515256025089,1
1136011365544538112,1569903307,1
1136011365544538112,19344678,1
1136011365544538112,278549435,1
1136641001378996224,1255014987937968129,1
1138129487323906049,1026161281127116800,5
1138129487323906049,1086810983316799490,1
1138129487323906049,1105241178126118912,3
1138129487323906049,1209839398554152961,1
1138129487323906049,1247169701718843394,4
1138129487323906049,3131146787,4
1138129487323906049,350280356,3
1138129487323906049,848268580852563968,3
1138129487323906049,918043589371973632,1
1139691182,1026161281127116800,1
1139691182,247179686,4
1139691182,278549435,3
1139691182,291185646,4
1139691182,822180013340553216,1
1140289295812616193,1131234343941132288,1
1143795276,278549435,1
1143795276,4847901676,2
1143822339379007488,247179686,1
1143822339379007488,26966080,1
1143822339379007488,278549435,1
1143822339379007488,291185646,8
1143822339379007488,399931157,1
1145457942315057152,282168818,1
1145457942315057152,291185646,1
1145457942315057152,301705809,1
1145597602425032710,1244375610488733698,1
1145597602425032710,282168818,1
1145757476878462979,247179686,1
1145757476878462979,278549435,2
1145757476878462979,282168818,1
1145757476878462979,4690054633,1
1148307297170534402,1086810983316799490,1
1148460439,1241307294148825093,1
1148460439,1242948664110321664,1
1148460439,985086380106711040,1
1149204658956771328,1069699281634902016,1
1149204658956771328,1086810983316799490,1
1149204658956771328,1107793013626101760,1
1149204658956771328,247179686,7
1149204658956771328,278549435,2
1149204658956771328,414145921,1
1149204658956771328,537659538,1
1149204658956771328,919686119222104065,1
1149769979975426048,237670274,1
1149769979975426048,247179686,5
1149769979975426048,278549435,2
1149769979975426048,291185646,1
1149769979975426048,966366763452649475,1
1150197590,24153670,1
1150197590,247179686,1
1150197590,278549435,3
1150197590,291185646,1
1150298329,14132591,1
1150298329,17099285,7
1150298329,247179686,3
1150298329,278549435,1
1150298329,291185646,7
1150298329,366177469,1
1150298329,452344175,1
1150298329,960669849415487489,1
1150298329,987667321815752704,1
1150417218443862019,282168818,1
1150445672061198337,247179686,1
115375903,247179686,4
1153800001484722176,278549435,1
1153800001484722176,291185646,2
1154111039270768646,282168818,1
115537535,247179686,1
115671519,1186755627588210696,1
115671519,247179686,1
115671519,278549435,1
115671519,301705809,1
115671519,4847901676,1
115671519,527018132,1
1156934026558615552,1156934026558615552,1
1156934026558615552,1156948202265989123,1
1156934026558615552,1157018340243726337,1
1156934026558615552,1252688569531015171,1
1156934026558615552,409681619,1
1156934026558615552,806117142475264000,1
1156934026558615552,939537033621659648,1
1157585948672217088,1086810983316799490,1
1157585948672217088,1107793013626101760,1
1157585948672217088,247179686,3
1157585948672217088,26966080,1
1157585948672217088,278549435,2
1157585948672217088,536360107,1
1157585948672217088,732903425491542016,1
1159281082916900864,282168818,1
115929129,282168818,1
1159392768990601217,291185646,1
1160532608826138624,282168818,1
1160630817867161600,247179686,1
1161424775153115137,1086810983316799490,2
1162389686440079362,237670274,1
1163002763040690177,278549435,1
1163002763040690177,51876491,1
1164583555168657410,282168818,1
1164636874838892560,247179686,1
116497291,247179686,3
116497291,278549435,1
116497291,291185646,1
1166314853683859457,247179686,7
1166314853683859457,278549435,5
1166314853683859457,282168818,1
1166314853683859457,291185646,3
1166832792,172887151,1
1166832792,278549435,4
1166832792,291185646,1
1166832792,52422673,1
1168242933851709442,124274552,1
1168242933851709442,166966715,1
1168242933851709442,237670274,1
1168466411632635904,1108919100431052800,1
1168912564694204416,247179686,1
1168912564694204416,278549435,2
1172038096499740672,571527485,1
1172913291523313665,247179686,1
1173602319566553088,14132591,1
1173602319566553088,247179686,1
1173602319566553088,278549435,4
1173602319566553088,291185646,1
1174402261130383361,237670274,1
1175879962903175170,1247139926556229632,1
1175879962903175170,247179686,1
1175879962903175170,278549435,1
1175879962903175170,282168818,4
1175879962903175170,571527485,2
1175879962903175170,807000283041644545,1
1175879962903175170,960669849415487489,1
1176115731341205505,247179686,1
1176115731341205505,278549435,1
1178060892753268737,278549435,1
1179883777402789888,1255817168303927302,1
1179918279663669248,1069488029004267520,1
1179918279663669248,1086810983316799490,1
1179918279663669248,278549435,2
1180029319168643072,247179686,1
1181363266473381893,26966080,1
1182225754848927744,1086810983316799490,1
1182406463991549952,1086810983316799490,2
1182406463991549952,1107793013626101760,1
1182406463991549952,130144127,2
1182406463991549952,247179686,1
1182406463991549952,278549435,5
1182406463991549952,282168818,1
1182406463991549952,291185646,1
1182406463991549952,848268580852563968,2
1182406463991549952,949831527667400704,2
1184204022091276288,74835605,1
1185822139414241280,1182406463991549952,1
1185822139414241280,15519497,1
1185822139414241280,19344678,1
1185822139414241280,224589396,1
1185822139414241280,247179686,9
1185822139414241280,278549435,2
1185822139414241280,282168818,1
1185822139414241280,291185646,3
1185822139414241280,739547151617904640,1
1186289240809844743,278549435,1
1186289240809844743,60402504,1
1186378742526042114,14132591,1
1186378742526042114,278549435,2
1186378742526042114,546071988,1
1186755627588210696,14132591,1
1186755627588210696,142606856,1
1186755627588210696,21329773,1
1186755627588210696,247179686,7
1186755627588210696,26966080,2
1186755627588210696,278549435,7
1186755627588210696,282168818,3
1186755627588210696,291185646,1
1186755627588210696,3327887445,1
1186755627588210696,4847901676,8
1186755627588210696,74835605,2
1186755627588210696,939010904,8
1187465880369631233,278549435,1
1187465880369631233,986504830540595200,1
1187788791127379968,22832379,1
1187788791127379968,247179686,12
1187788791127379968,278549435,1
1187788791127379968,291185646,4
1187788791127379968,884649543777886209,1
1187788791127379968,930171289,1
1187874955364589569,1086810983316799490,1
1188496177651748865,291185646,1
1188973657,247179686,9
1188973657,278549435,3
1188973657,291185646,1
1188988031371567104,1086810983316799490,2
1188988031371567104,918043589371973632,1
1189996060174880768,278549435,1
1190175425756106752,1241307294148825093,1
1190175425756106752,267568419,1
