source,target,weight
1060962792986042369,38286268,1
1061640771319877633,237670274,1
1061640771319877633,76187247,1
1061652025275019265,2195550221,1
1062641262099161088,1241307294148825093,1
1062641262099161088,267568419,1
1062641262099161088,291185646,1
106340241,1241307294148825093,2
106340241,1242948664110321664,3
106340241,17735019,1
106340241,267568419,1
106382065,291185646,1
1064238298170908674,267568419,1
1064528812522815488,1242948664110321664,1
1064629363637932032,1241307294148825093,2
1064629363637932032,1242948664110321664,2
1064629363637932032,267568419,2
1065687993070047234,1241307294148825093,2
1065687993070047234,1242948664110321664,3
1065687993070047234,267568419,1
1065687993070047234,291185646,3
1066067299424178176,76296208,1
1066178479,291185646,1
1066408407941480449,1242948664110321664,1
1066409336,1241307294148825093,1
1066409336,237670274,1
1066409336,267568419,4
1066409336,67397455,1
1066411357761953793,507787618,4
1068236197,1241307294148825093,2
1068236197,1242948664110321664,1
1068236197,291185646,1
1069066821536485377,10228272,1
1069272713708167168,2195550221,1
1069321070585487360,1241307294148825093,1
1069321070585487360,1257753453981466625,1
1069321070585487360,1548953197,1
1069321070585487360,3092581066,1
1069342375875657728,267568419,1
1069701027593625600,1241307294148825093,1
1069701027593625600,1242948664110321664,1
1069701027593625600,267568419,1
1069701027593625600,291185646,1
1069713189565317120,1241307294148825093,3
1069713189565317120,592715470,1
1070405364385017857,267568419,1
1071335253837574144,1102602454779219971,1
1071335253837574144,1241307294148825093,6
1071335253837574144,1241433581307613185,3
1071335253837574144,1242948664110321664,4
1071335253837574144,2195550221,1
1071335253837574144,267568419,1
1071335253837574144,291185646,3
1071335253837574144,3327887445,1
1071335253837574144,883016728426536960,5
1071402104,1084838565073379332,1
1071402104,1102602454779219971,1
1071402104,1149769979975426048,2
1071402104,1241307294148825093,8
1071402104,1241433581307613185,5
1071402104,1242948664110321664,1
1071402104,1289678160,1
1071402104,267568419,4
1071402104,291185646,5
1071402104,297286183,3
1071402104,323418222,1
1071402104,487846115,1
1071402104,74835605,1
1071402104,930171289,1
1071402104,939010904,4
1071464831948083200,1242948664110321664,1
1072136216060092416,1242948664110321664,1
1072506779131625474,17735019,1
1073295436499337216,1241307294148825093,2
1073347691776745472,883016728426536960,1
1075266827490476032,237670274,1
1078964321315667969,1241307294148825093,3
1078964321315667969,411636596,1
1079480755879886849,1241307294148825093,1
1080572090967867392,237670274,1
1081562665389117440,237670274,2
1081678979311026177,1241307294148825093,11
1081678979311026177,1242948664110321664,2
1081678979311026177,267568419,4
1081678979311026177,291185646,2
1082612750449369088,1186755627588210696,1
1084158007108386817,1242948664110321664,1
1084272711407415296,14132591,1
1084272711407415296,267568419,1
1087074745542238208,1013777146102337536,1
1087391127341289473,1241307294148825093,2
1087428379,291185646,1
1087605048689868800,237670274,1
1087727077242097666,1241307294148825093,1
1087727077242097666,1242948664110321664,1
1087879147274334208,1241307294148825093,3
1087879147274334208,1242948664110321664,2
1089284203622158336,547855479,1
1090604083692621824,1241307294148825093,1
1090604083692621824,267568419,1
1091131716,1241307294148825093,1
1091131716,1242948664110321664,1
1091131716,267568419,1
1091131716,26786705,1
10916012,1241307294148825093,2
1091785225854689280,1242948664110321664,2
1091785225854689280,1251643555325468672,1
1091785225854689280,17735019,1
1091785225854689280,21184930,1
1091785225854689280,22516585,1
1091785225854689280,235205460,1
1091785225854689280,267568419,4
1091785225854689280,725052515256025089,1
1091785225854689280,749192804082089984,1
1091785225854689280,794227735652691968,1
1091785225854689280,822122282529198080,1
1091785225854689280,848371627,1
1092043141668958210,17735019,2
1092361451149250560,1241307294148825093,5
1092361451149250560,3327887445,1
1093537964548866049,1241307294148825093,1
1093537964548866049,1242948664110321664,1
1093537964548866049,267568419,1
1093537964548866049,291185646,1
1094917589426413568,267568419,1
1095258614,1124960194776174592,1
1095258614,1241307294148825093,1
1095258614,725757744255516672,1
1095798131164360705,267568419,2
1095843643980685312,1241307294148825093,24
1095843643980685312,1242948664110321664,7
1095843643980685312,267568419,2
1095843643980685312,282740346,1
1095843643980685312,291185646,15
1095843643980685312,970750761071194117,1
109677737,267568419,2
109677737,293747885,1
1097920470236577792,1241307294148825093,1
1097920470236577792,1242948664110321664,2
1097920470236577792,267568419,2
109833509,237670274,1
1100121930391306240,2195550221,1
1101781986413289472,1241307294148825093,2
1101781986413289472,1242948664110321664,1
1101781986413289472,267568419,1
1101893513032142850,282168818,2
1103758340,939010904,1
1104787699,1241307294148825093,2
1104787699,1242948664110321664,3
1104787699,267568419,3
1104874617230053384,1241307294148825093,2
1104874617230053384,41608459,1
1104874617230053384,870235988756443137,1
1105878865,1241307294148825093,1
1105878865,291185646,1
1105878865,3149165699,1
1106147935,237670274,2
1106147935,267568419,1
1106147935,291185646,1
1106147935,883016728426536960,1
1107050688,1241307294148825093,1
110713444,24791508,1
110713444,267568419,1
110713444,67397455,1
110713444,860877709,1
1107292492762935297,1242948664110321664,1
1107372618,1241307294148825093,1
1107372618,267568419,2
1107372618,291185646,2
1107793013626101760,1242948664110321664,1
1107986251557167104,811282554921877505,2
110874872,1241307294148825093,3
1108919100431052800,291185646,1
1108919100431052800,44183483,1
1108940862,1241307294148825093,2
1108940862,1242948664110321664,3
1108940862,267568419,1
1108940862,291185646,1
1109086786440040448,1241307294148825093,1
1109086786440040448,291185646,2
1109137788090413064,1241307294148825093,2
1109137788090413064,1242948664110321664,1
11095282,237670274,1
1109725936960720896,1242948664110321664,1
1109725936960720896,21184930,1
1109725936960720896,267568419,2
1110577936707584000,1241307294148825093,1
1110577936707584000,1242948664110321664,1
1110577936707584000,2195550221,1
1110577936707584000,267568419,3
1110697721084686336,1241307294148825093,1
1110697721084686336,24245457,1
1110940706267426819,883016728426536960,4
1111187900354519040,1242948664110321664,1
1111367626247294976,1241307294148825093,15
1111367626247294976,1242948664110321664,4
1111367626247294976,267568419,3
1111367626247294976,291185646,1
1111471957331959809,3131146787,1
1113423291237175297,267568419,1
1113855736281481217,237670274,1
1113855736281481217,291185646,3
1114535751277076480,1241307294148825093,2
1114535751277076480,1242948664110321664,1
1114535751277076480,267568419,1
1114535751277076480,291185646,1
1116083648699273217,1241307294148825093,7
1116083648699273217,1242948664110321664,5
1116083648699273217,267568419,6
1116083648699273217,291185646,4
1116083648699273217,74835605,1
1117126151300952064,1242948664110321664,1
1117432434843373568,2195550221,1
1117548764867252225,1212406013619363842,1
1117548764867252225,1241307294148825093,1
1117548764867252225,267568419,5
1117548764867252225,410160829,1
1118165913914703874,1241307294148825093,2
1118165913914703874,1242948664110321664,3
1118165913914703874,291185646,1
1119325001646247936,1241307294148825093,5
1119325001646247936,1242948664110321664,6
1119325001646247936,17735019,1
1119325001646247936,237670274,1
1119325001646247936,267568419,3
1119325001646247936,291185646,2
1119325001646247936,395852064,1
1119325001646247936,44183483,1
1120206185183924225,237670274,1
1123578661,411706941,1
1124417378358525955,2195550221,1
1124960194776174592,1241307294148825093,1
1124960194776174592,1242948664110321664,1
1124960194776174592,267568419,6
1124960194776174592,291185646,2
1125440760206241792,1241307294148825093,1
1125440760206241792,1242948664110321664,4
1125440760206241792,267568419,1
1125440760206241792,291185646,1
1125852768,1241307294148825093,1
1125852768,1242948664110321664,1
1125852768,267568419,1
1125852768,291185646,1
1125852768,883016728426536960,1
1126095952111177729,1241307294148825093,3
1127168303691128832,1241307294148825093,1
1127168303691128832,1242948664110321664,1
1127168303691128832,267568419,1
1128008297544650752,291185646,1
112814777,1242948664110321664,2
1128914010517254149,2195550221,1
1129284384,1104874617230053384,1
1129334144,883016728426536960,1
1130127366695600128,1241307294148825093,3
1130127366695600128,237670274,7
1130127366695600128,267568419,1
1131234343941132288,883016728426536960,1
1131303040450007040,2195550221,1
1131709195613593601,235205460,1
1132030846255423493,1241307294148825093,3
1132030846255423493,1242948664110321664,1
1132328235675602944,1241307294148825093,1
1132328235675602944,1242948664110321664,4
1132328235675602944,1283985709,3
1132328235675602944,17735019,1
1132328235675602944,2195550221,1
1132328235675602944,3131146787,6
1132328235675602944,3192666116,1
1132328235675602944,836479711937191937,1
1132328235675602944,883016728426536960,4
1132712040072663048,1241307294148825093,5
1132712040072663048,1242948664110321664,3
1132712040072663048,267568419,2
1132712040072663048,291185646,6
1132712040072663048,725052515256025089,2
1132712040072663048,883016728426536960,1
1132712040072663048,939010904,1
1133812859052404736,1241307294148825093,5
1133812859052404736,1242948664110321664,4
1133812859052404736,267568419,1
1134363726029737984,1242948664110321664,1
1135133413449588736,725052515256025089,1
1135640611028164610,1242948664110321664,1
1136253831149498373,2352989522,1
1136253831149498373,24791508,1
1136253831149498373,267568419,1
1136253831149498373,2809694170,1
1136253831149498373,53737367,1
1136253831149498373,53856693,1
1136253831149498373,67397455,1
1136253831149498373,860877709,1
1136253831149498373,863507148952801280,1
1136253831149498373,866895038,1
1136253831149498373,923503668548243461,1
1136253831149498373,960857544104316928,1
1136343340109258756,123287171,3
1136343340109258756,1241307294148825093,6
1136343340109258756,1242948664110321664,1
1136343340109258756,14132591,1
1136343340109258756,267568419,3
1136343340109258756,291185646,5
1136343340109258756,3327887445,1
1136343340109258756,679623,1
1136813757877895168,1242948664110321664,1
1137060089389563906,1241307294148825093,1
1137060089389563906,1242948664110321664,1
1137371967017955328,1241307294148825093,1
1137371967017955328,267568419,1
1137371967017955328,291185646,1
1138063568648253440,883016728426536960,1
11383662,291185646,1
1139119619120214016,1241307294148825093,1
1139119619120214016,74914585,1
1139691182,1241307294148825093,6
1139691182,1242948664110321664,7
1139691182,267568419,3
1139691182,291185646,8
1139691182,44183483,1
1139691182,844514419686158336,1
1139691182,883016728426536960,1
1140206624407261184,1242948664110321664,1
1140206624407261184,267568419,1
11405262,1242948664110321664,3
11405262,939010904,1
1141065176122298369,1241307294148825093,3
1141065176122298369,1242948664110321664,4
1141207155003068419,1242948664110321664,1
1142514285945524224,1241307294148825093,1
1142514285945524224,1242948664110321664,1
1142514285945524224,267568419,1
114309885,1241307294148825093,7
114309885,1242948664110321664,9
114309885,17735019,1
114309885,267568419,3
114309885,883016728426536960,2
1143961426853343232,291185646,1
1143961426853343232,3327887445,1
1144185416335208448,1241307294148825093,1
1144185416335208448,267568419,1
114439007,1241307294148825093,8
114439007,1242948664110321664,5
114439007,237670274,1
114439007,267568419,13
114439007,291185646,3
114439007,3327887445,1
1145457942315057152,1241307294148825093,20
1145457942315057152,1242948664110321664,2
1145457942315057152,267568419,4
1145457942315057152,291185646,9
1145597602425032710,1242948664110321664,1
1145597602425032710,883016728426536960,1
1145757476878462979,1241307294148825093,1
1145757476878462979,1242948664110321664,1
1145757476878462979,1630805862,1
1145757476878462979,410160829,1
1146605401053564929,1241307294148825093,2
1146605401053564929,1242948664110321664,1
1146998419711393793,1241307294148825093,1
1146998419711393793,1242948664110321664,1
1146998419711393793,17735019,1
1146998419711393793,267568419,1
1147063798148161536,282168818,1
1148690722243174402,237670274,1
1148932984223010817,1241307294148825093,1
1148932984223010817,267568419,2
1149769979975426048,1241307294148825093,25
